"Rx1","rep","DP","conc"
"in",3,"kestose",-0.121173524866589
"gos",1,"kestose",-0.121173524866589
"gos",2,"kestose",-0.121173524866589
"gos",3,"kestose",-0.121173524866589
"dex",1,"kestose",-0.121173524866589
"dex",2,"kestose",-0.121173524866589
"dex",3,"kestose",-0.121173524866589
"con",1,"DP 29",0.240840546528416
"con",2,"DP 29",0.248598025546931
"con",3,"DP 29",0.246402304745514
"in",1,"DP 29",0.128348736497703
"in",2,"DP 29",0.124997217070274
"in",3,"DP 29",0.1796849796066
"gos",1,"DP 29",0.201809816890161
"gos",2,"DP 29",0.214828839246835
"gos",3,"DP 29",0.199876887249454
"dex",1,"DP 29",0.219157869754733
"dex",2,"DP 29",0.205351312419348
"dex",3,"DP 29",0.203090043171331
"con",1,"GF3",0.449378441613785
"con",2,"GF3",0
"con",3,"GF3",0
"in",1,"GF3",0.437337539886847
"in",2,"GF3",0.484957060411132
"in",3,"GF3",0
"gos",1,"GF3",0
"gos",2,"GF3",0
"gos",3,"GF3",0
"dex",1,"GF3",0
"dex",2,"GF3",0
"dex",3,"GF3",0
"con",1,"DP 75",0.336977413658732
"con",2,"DP 75",0
"con",3,"DP 75",0
"in",1,"DP 75",0
"in",2,"DP 75",0
"in",3,"DP 75",0
"gos",1,"DP 75",0
"gos",2,"DP 75",0
"gos",3,"DP 75",0
"dex",1,"DP 75",0
"dex",2,"DP 75",0
"dex",3,"DP 75",0
"con",1,"DP 16",0.316986335860869
"con",2,"DP 16",0.322811280469702
"con",3,"DP 16",0.322291180504284
"in",1,"DP 16",0.214390591343256
"in",2,"DP 16",0.210875555595247
"in",3,"DP 16",0.265535391740977
"gos",1,"DP 16",0.280480771632773
"gos",2,"DP 16",0.290315194141677
"gos",3,"DP 16",0.290140783109104
"dex",1,"DP 16",0.313484848793172
"dex",2,"DP 16",0.293777107772304
"dex",3,"DP 16",0.290412998677672
"con",1,"DP 33",0.187677016893047
"con",2,"DP 33",0.171180039267342
"con",3,"DP 33",0.167186368160954
"in",1,"DP 33",0.110002903429087
"in",2,"DP 33",0.107256299528841
"in",3,"DP 33",0.144684123923745
"gos",1,"DP 33",0.170088219127106
"gos",2,"DP 33",0.175929997728248
"gos",3,"DP 33",0.16096861227133
"dex",1,"DP 33",0.175886832034547
"dex",2,"DP 33",0.162206745578334
"dex",3,"DP 33",0.159743495785103
"con",1,"DP 46",0.0779531333151687
"con",2,"DP 46",0.0720204376613402
"con",3,"DP 46",0.0675285985157955
"in",1,"DP 46",0.046401297617214
"in",2,"DP 46",0.0450737031292767
"in",3,"DP 46",0.0533878408759255
"gos",1,"DP 46",0.0669509245317384
"gos",2,"DP 46",0.0608967453152372
"gos",3,"DP 46",0.0652735900366484
"dex",1,"DP 46",0.0691998423452808
"dex",2,"DP 46",0.0675627960684774
"dex",3,"DP 46",0.0669519564592484
"con",1,"DP 78",0
"con",2,"DP 78",0
"con",3,"DP 78",0
"in",1,"DP 78",0
"in",2,"DP 78",0
"in",3,"DP 78",0
"gos",1,"DP 78",0
"gos",2,"DP 78",0
"gos",3,"DP 78",0
"dex",1,"DP 78",0
"dex",2,"DP 78",0
"dex",3,"DP 78",0
"con",1,"DP 31",0.202046244631418
"con",2,"DP 31",0.2204407495092
"con",3,"DP 31",0.210320652457291
"in",1,"DP 31",0.112389577344235
"in",2,"DP 31",0.110213021928763
"in",3,"DP 31",0.164652386376859
"gos",1,"DP 31",0.177431655713131
"gos",2,"DP 31",0.194561338242078
"gos",3,"DP 31",0.17581603198762
"dex",1,"DP 31",0.196721506284028
"dex",2,"DP 31",0.175562518956913
"dex",3,"DP 31",0.173456648705082
"con",1,"DP 32",0.190264856961298
"con",2,"DP 32",0.201481192212171
"con",3,"DP 32",0.195154541982103
"in",1,"DP 32",0.104907761411428
"in",2,"DP 32",0.102735585324172
"in",3,"DP 32",0.151155617280397
"gos",1,"DP 32",0.168021931161259
"gos",2,"DP 32",0.184223616464571
"gos",3,"DP 32",0.165006600272102
"dex",1,"DP 32",0.184297251676802
"dex",2,"DP 32",0.163633905871552
"dex",3,"DP 32",0.161835397888323
"con",1,"DP 35",0.152060917067544
"con",2,"DP 35",0.206691779568261
"con",3,"DP 35",0.200932235568347
"in",1,"DP 35",0.0902844950830952
"in",2,"DP 35",0.0881482657713141
"in",3,"DP 35",0.134429054642591
"gos",1,"DP 35",0.144995567589039
"gos",2,"DP 35",0.161638045578065
"gos",3,"DP 35",0.138210385405523
"dex",1,"DP 35",0.156819119489013
"dex",2,"DP 35",0.132562092489943
"dex",3,"DP 35",0.132204048366915
"con",1,"DP 36",0.172409121535737
"con",2,"DP 36",0.185613507090503
"con",3,"DP 36",0.181722191769995
"in",1,"DP 36",0.101926848663663
"in",2,"DP 36",0.0996888310257584
"in",3,"DP 36",0.145536055018459
"gos",1,"DP 36",0.16939049425611
"gos",2,"DP 36",0.180067770183487
"gos",3,"DP 36",0.150741646238363
"dex",1,"DP 36",0.172088246393351
"dex",2,"DP 36",0.148641739145759
"dex",3,"DP 36",0.146833123308095
"con",1,"DP 37",0.157492326157591
"con",2,"DP 37",0.175908865176891
"con",3,"DP 37",0.17171681201293
"in",1,"DP 37",0.0967664384406519
"in",2,"DP 37",0.0953654206411107
"in",3,"DP 37",0.141297754636463
"gos",1,"DP 37",0.15999075726097
"gos",2,"DP 37",0.172908359558859
"gos",3,"DP 37",0.141485668645592
"dex",1,"DP 37",0.163711644362493
"dex",2,"DP 37",0.137363468060496
"dex",3,"DP 37",0.135936749149706
"con",1,"DP 38",0.143052029917625
"con",2,"DP 38",0.156409860747805
"con",3,"DP 38",0.157328007589844
"in",1,"DP 38",0.0902078365293326
"in",2,"DP 38",0.0889182601499489
"in",3,"DP 38",0.127400460491868
"gos",1,"DP 38",0.146464136880434
"gos",2,"DP 38",0.160198707641024
"gos",3,"DP 38",0.129668886399113
"dex",1,"DP 38",0.151924654945382
"dex",2,"DP 38",0.126068054537477
"dex",3,"DP 38",0.124533273925113
"con",1,"DP 39",0.126884915332586
"con",2,"DP 39",0.140664036113839
"con",3,"DP 39",0.138458035082147
"in",1,"DP 39",0.0687368033069732
"in",2,"DP 39",0.0682160775525654
"in",3,"DP 39",0.107957354341964
"gos",1,"DP 39",0.110569234533071
"gos",2,"DP 39",0.101048485324187
"gos",3,"DP 39",0.0836574090397783
"dex",1,"DP 39",0.134946476951388
"dex",2,"DP 39",0.106920821989675
"dex",3,"DP 39",0.10573503019835
"con",1,"DP 41",0.108463856150094
"con",2,"DP 41",0.11663330637579
"con",3,"DP 41",0.114932834091176
"in",1,"DP 41",0.0749879282924078
"in",2,"DP 41",0.0739351150405744
"in",3,"DP 41",0.0863860187151096
"gos",1,"DP 41",0.0960168430369288
"gos",2,"DP 41",0.102603930178637
"gos",3,"DP 41",0.109344346433477
"dex",1,"DP 41",0.117330793606387
"dex",2,"DP 41",0.0954663478956121
"dex",3,"DP 41",0.0945673695793155
"con",1,"DP 44",0.0833926937431524
"con",2,"DP 44",0.0899219137855095
"con",3,"DP 44",0.0881889528945699
"in",1,"DP 44",0.051983368448693
"in",2,"DP 44",0.0515529726543704
"in",3,"DP 44",0.0706814627096375
"gos",1,"DP 44",0.0722177231747066
"gos",2,"DP 44",0.0807483359862316
"gos",3,"DP 44",0.0777907515861102
"dex",1,"DP 44",0.0877062105249448
"dex",2,"DP 44",0.0736615681461729
"dex",3,"DP 44",0.0730010637469902
"con",1,"DP 45",0.0724384103951197
"con",2,"DP 45",0.0822376386154313
"con",3,"DP 45",0.0794258076019476
"in",1,"DP 45",0.0429936018543994
"in",2,"DP 45",0.0424585932149397
"in",3,"DP 45",0.0622462503269788
"gos",1,"DP 45",0.0631330114532891
"gos",2,"DP 45",0.0726337977095551
"gos",3,"DP 45",0.0660883397724439
"dex",1,"DP 45",0.0752486318296978
"dex",2,"DP 45",0.0645863614543257
"dex",3,"DP 45",0.0634330582693279
"con",1,"DP 48",0.0562468118080077
"con",2,"DP 48",0.0604939879798815
"con",3,"DP 48",0
"in",1,"DP 48",0.0334000190418271
"in",2,"DP 48",0.033057022164772
"in",3,"DP 48",0.0466853979829238
"gos",1,"DP 48",0.0478069833467394
"gos",2,"DP 48",0.0480452575125622
"gos",3,"DP 48",0.0448458213365344
"dex",1,"DP 48",0.0550712079516467
"dex",2,"DP 48",0.0487434799964042
"dex",3,"DP 48",0.0482959218300735
"con",1,"DP 49",0.050688803226587
"con",2,"DP 49",0.0517247685942524
"con",3,"DP 49",0
"in",1,"DP 49",0.0302248073354626
"in",2,"DP 49",0.0299252645625902
"in",3,"DP 49",0.0404219878118678
"gos",1,"DP 49",0.0433874608584004
"gos",2,"DP 49",0.0472874084795141
"gos",3,"DP 49",0.0430831521413722
"dex",1,"DP 49",0.0496497035254761
"dex",2,"DP 49",0.0440951774033148
"dex",3,"DP 49",0.0438857325553023
"con",1,"DP 50",0.0418625643039717
"con",2,"DP 50",0
"con",3,"DP 50",0
"in",1,"DP 50",0.0226892704959646
"in",2,"DP 50",0.0223455093343789
"in",3,"DP 50",0.0364289495499402
"gos",1,"DP 50",0.0340124941453325
"gos",2,"DP 50",0.0404015698851877
"gos",3,"DP 50",0.0352647732626387
"dex",1,"DP 50",0.0411293054217476
"dex",2,"DP 50",0.0354689772786906
"dex",3,"DP 50",0.0349309817647021
"con",1,"DP 51",0.0374635478714956
"con",2,"DP 51",0
"con",3,"DP 51",0
"in",1,"DP 51",0.0202938908027973
"in",2,"DP 51",0.0203265864028517
"in",3,"DP 51",0.0302763608705121
"gos",1,"DP 51",0.0310929511233817
"gos",2,"DP 51",0.0349187032731707
"gos",3,"DP 51",0.0322474056934317
"dex",1,"DP 51",0.0360943343968432
"dex",2,"DP 51",0.0322411659700464
"dex",3,"DP 51",0.0317195493613159
"con",1,"DP 52",0.0311137537134718
"con",2,"DP 52",0
"con",3,"DP 52",0
"in",1,"DP 52",0
"in",2,"DP 52",0.0170724003860423
"in",3,"DP 52",0
"gos",1,"DP 52",0.0263685827520111
"gos",2,"DP 52",0
"gos",3,"DP 52",0.0270688860636079
"dex",1,"DP 52",0.0304125807178859
"dex",2,"DP 52",0.0273072033901418
"dex",3,"DP 52",0
"con",1,"DP 81",0
"con",2,"DP 81",0
"con",3,"DP 81",0
"in",1,"DP 81",0
"in",2,"DP 81",0
"in",3,"DP 81",0
"gos",1,"DP 81",0
"gos",2,"DP 81",0
"gos",3,"DP 81",0
"dex",1,"DP 81",0
"dex",2,"DP 81",0
"dex",3,"DP 81",0
"con",1,"DP 53",0
"con",2,"DP 53",0
"con",3,"DP 53",0
"in",1,"DP 53",0
"in",2,"DP 53",0.0137438095331953
"in",3,"DP 53",0
"gos",1,"DP 53",0
"gos",2,"DP 53",0
"gos",3,"DP 53",0
"dex",1,"DP 53",0.0246901552993195
"dex",2,"DP 53",0.0231766548029891
"dex",3,"DP 53",0
"con",1,"DP 54",0
"con",2,"DP 54",0
"con",3,"DP 54",0
"in",1,"DP 54",0
"in",2,"DP 54",0
"in",3,"DP 54",0
"gos",1,"DP 54",0
"gos",2,"DP 54",0
"gos",3,"DP 54",0
"dex",1,"DP 54",0
"dex",2,"DP 54",0
"dex",3,"DP 54",0
"con",1,"DP 55",0
"con",2,"DP 55",0
"con",3,"DP 55",0
"in",1,"DP 55",0
"in",2,"DP 55",0
"in",3,"DP 55",0
"gos",1,"DP 55",0
"gos",2,"DP 55",0
"gos",3,"DP 55",0
"dex",1,"DP 55",0
"dex",2,"DP 55",0
"dex",3,"DP 55",0
"con",1,"DP 56",0
"con",2,"DP 56",0
"con",3,"DP 56",0
"in",1,"DP 56",0
"in",2,"DP 56",0
"in",3,"DP 56",0
"gos",1,"DP 56",0
"gos",2,"DP 56",0
"gos",3,"DP 56",0
"dex",1,"DP 56",0
"dex",2,"DP 56",0
"dex",3,"DP 56",0
"con",1,"DP 57",0
"con",2,"DP 57",0
"con",3,"DP 57",0
"in",1,"DP 57",0
"in",2,"DP 57",0
"in",3,"DP 57",0
"gos",1,"DP 57",0
"gos",2,"DP 57",0
"gos",3,"DP 57",0
"dex",1,"DP 57",0
"dex",2,"DP 57",0
"dex",3,"DP 57",0
"con",1,"DP 58",0
"con",2,"DP 58",0
"con",3,"DP 58",0
"in",1,"DP 58",0
"in",2,"DP 58",0
"in",3,"DP 58",0
"gos",1,"DP 58",0
"gos",2,"DP 58",0
"gos",3,"DP 58",0
"dex",1,"DP 58",0
"dex",2,"DP 58",0
"dex",3,"DP 58",0
"con",1,"DP 59",0
"con",2,"DP 59",0
"con",3,"DP 59",0
"in",1,"DP 59",0
"in",2,"DP 59",0
"in",3,"DP 59",0
"gos",1,"DP 59",0
"gos",2,"DP 59",0
"gos",3,"DP 59",0
"dex",1,"DP 59",0
"dex",2,"DP 59",0
"dex",3,"DP 59",0
"con",1,"DP 60",0
"con",2,"DP 60",0
"con",3,"DP 60",0
"in",1,"DP 60",0
"in",2,"DP 60",0
"in",3,"DP 60",0
"gos",1,"DP 60",0
"gos",2,"DP 60",0
"gos",3,"DP 60",0
"dex",1,"DP 60",0
"dex",2,"DP 60",0
"dex",3,"DP 60",0
"con",1,"DP 61",0
"con",2,"DP 61",0
"con",3,"DP 61",0
"in",1,"DP 61",0
"in",2,"DP 61",0
"in",3,"DP 61",0
"gos",1,"DP 61",0
"gos",2,"DP 61",0
"gos",3,"DP 61",0
"dex",1,"DP 61",0
"dex",2,"DP 61",0
"dex",3,"DP 61",0
"con",1,"DP 62",0
"con",2,"DP 62",0
"con",3,"DP 62",0
"in",1,"DP 62",0
"in",2,"DP 62",0
"in",3,"DP 62",0
"gos",1,"DP 62",0
"gos",2,"DP 62",0
"gos",3,"DP 62",0
"dex",1,"DP 62",0
"dex",2,"DP 62",0
"dex",3,"DP 62",0
"con",1,"DP 63",0
"con",2,"DP 63",0
"con",3,"DP 63",0
"in",1,"DP 63",0
"in",2,"DP 63",0
"in",3,"DP 63",0
"gos",1,"DP 63",0
"gos",2,"DP 63",0
"gos",3,"DP 63",0
"dex",1,"DP 63",0
"dex",2,"DP 63",0
"dex",3,"DP 63",0
"con",1,"DP 64",0
"con",2,"DP 64",0
"con",3,"DP 64",0
"in",1,"DP 64",0
"in",2,"DP 64",0
"in",3,"DP 64",0
"gos",1,"DP 64",0
"gos",2,"DP 64",0
"gos",3,"DP 64",0
"dex",1,"DP 64",0
"dex",2,"DP 64",0
"dex",3,"DP 64",0
"con",1,"DP 65",0
"con",2,"DP 65",0
"con",3,"DP 65",0
"in",1,"DP 65",0
"in",2,"DP 65",0
"in",3,"DP 65",0
"gos",1,"DP 65",0
"gos",2,"DP 65",0
"gos",3,"DP 65",0
"dex",1,"DP 65",0
"dex",2,"DP 65",0
"dex",3,"DP 65",0
"con",1,"DP 66",0
"con",2,"DP 66",0
"con",3,"DP 66",0
"in",1,"DP 66",0
"in",2,"DP 66",0
"in",3,"DP 66",0
"gos",1,"DP 66",0
"gos",2,"DP 66",0
"gos",3,"DP 66",0
"dex",1,"DP 66",0
"dex",2,"DP 66",0
"dex",3,"DP 66",0
"con",1,"DP 67",0
"con",2,"DP 67",0
"con",3,"DP 67",0
"in",1,"DP 67",0
"in",2,"DP 67",0
"in",3,"DP 67",0
"gos",1,"DP 67",0
"gos",2,"DP 67",0
"gos",3,"DP 67",0
"dex",1,"DP 67",0
"dex",2,"DP 67",0
"dex",3,"DP 67",0
"con",1,"DP 68",0
"con",2,"DP 68",0
"con",3,"DP 68",0
"in",1,"DP 68",0
"in",2,"DP 68",0
"in",3,"DP 68",0
"gos",1,"DP 68",0
"gos",2,"DP 68",0
"gos",3,"DP 68",0
"dex",1,"DP 68",0
"dex",2,"DP 68",0
"dex",3,"DP 68",0
"con",1,"DP 69",0
"con",2,"DP 69",0
"con",3,"DP 69",0
"in",1,"DP 69",0
"in",2,"DP 69",0
"in",3,"DP 69",0
"gos",1,"DP 69",0
"gos",2,"DP 69",0
"gos",3,"DP 69",0
"dex",1,"DP 69",0
"dex",2,"DP 69",0
"dex",3,"DP 69",0
"con",1,"DP 70",0
"con",2,"DP 70",0
"con",3,"DP 70",0
"in",1,"DP 70",0
"in",2,"DP 70",0
"in",3,"DP 70",0
"gos",1,"DP 70",0
"gos",2,"DP 70",0
"gos",3,"DP 70",0
"dex",1,"DP 70",0
"dex",2,"DP 70",0
"dex",3,"DP 70",0
"con",1,"DP 71",0
"con",2,"DP 71",0
"con",3,"DP 71",0
"in",1,"DP 71",0
"in",2,"DP 71",0
"in",3,"DP 71",0
"gos",1,"DP 71",0
"gos",2,"DP 71",0
"gos",3,"DP 71",0
"dex",1,"DP 71",0
"dex",2,"DP 71",0
"dex",3,"DP 71",0
"con",1,"DP 72",0
"con",2,"DP 72",0
"con",3,"DP 72",0
"in",1,"DP 72",0
"in",2,"DP 72",0
"in",3,"DP 72",0
"gos",1,"DP 72",0
"gos",2,"DP 72",0
"gos",3,"DP 72",0
"dex",1,"DP 72",0
"dex",2,"DP 72",0
"dex",3,"DP 72",0
"con",1,"DP 73",0
"con",2,"DP 73",0
"con",3,"DP 73",0
"in",1,"DP 73",0
"in",2,"DP 73",0
"in",3,"DP 73",0
"gos",1,"DP 73",0
"gos",2,"DP 73",0
"gos",3,"DP 73",0
"dex",1,"DP 73",0
"dex",2,"DP 73",0
"dex",3,"DP 73",0
"con",1,"DP 74",0
"con",2,"DP 74",0
"con",3,"DP 74",0
"in",1,"DP 74",0
"in",2,"DP 74",0
"in",3,"DP 74",0
"gos",1,"DP 74",0
"gos",2,"DP 74",0
"gos",3,"DP 74",0
"dex",1,"DP 74",0
"dex",2,"DP 74",0
"dex",3,"DP 74",0
"con",1,"DP 82",0
"con",2,"DP 82",0
"con",3,"DP 82",0
"in",1,"DP 82",0
"in",2,"DP 82",0
"in",3,"DP 82",0
"gos",1,"DP 82",0
"gos",2,"DP 82",0
"gos",3,"DP 82",0
"dex",1,"DP 82",0
"dex",2,"DP 82",0
"dex",3,"DP 82",0
"con",1,"DP 83",0
"con",2,"DP 83",0
"con",3,"DP 83",0
"in",1,"DP 83",0
"in",2,"DP 83",0
"in",3,"DP 83",0
"gos",1,"DP 83",0
"gos",2,"DP 83",0
"gos",3,"DP 83",0
"dex",1,"DP 83",0
"dex",2,"DP 83",0
"dex",3,"DP 83",0
"con",1,"DP 84",0
"con",2,"DP 84",0
"con",3,"DP 84",0
"in",1,"DP 84",0
"in",2,"DP 84",0
"in",3,"DP 84",0
"gos",1,"DP 84",0
"gos",2,"DP 84",0
"gos",3,"DP 84",0
"dex",1,"DP 84",0
"dex",2,"DP 84",0
"dex",3,"DP 84",0
"con",1,"DP 85",0
"con",2,"DP 85",0
"con",3,"DP 85",0
"in",1,"DP 85",0
"in",2,"DP 85",0
"in",3,"DP 85",0
"gos",1,"DP 85",0
"gos",2,"DP 85",0
"gos",3,"DP 85",0
"dex",1,"DP 85",0
"dex",2,"DP 85",0
"dex",3,"DP 85",0
"con",1,"DP 86",0
"con",2,"DP 86",0
"con",3,"DP 86",0
"in",1,"DP 86",0
"in",2,"DP 86",0
"in",3,"DP 86",0
"gos",1,"DP 86",0
"gos",2,"DP 86",0
"gos",3,"DP 86",0
"dex",1,"DP 86",0
"dex",2,"DP 86",0
"dex",3,"DP 86",0
"con",1,"DP 87",0
"con",2,"DP 87",0
"con",3,"DP 87",0
"in",1,"DP 87",0
"in",2,"DP 87",0
"in",3,"DP 87",0
"gos",1,"DP 87",0
"gos",2,"DP 87",0
"gos",3,"DP 87",0
"dex",1,"DP 87",0
"dex",2,"DP 87",0
"dex",3,"DP 87",0
