"cond","pre.treat","rep","DP","conc"
"908","in",2,"DP 12",0.0180734717927732
"Bc10","con",2,"DP 12",-0.0267899332371821
"Bc10","con",3,"DP 12",0.000564527294572452
"908","con",2,"DP 12",-0.00974337673374173
"908","in",3,"DP 12",0.0252135285606226
"Bc10","con",1,"DP 12",0.0488790156658954
"Bc50","in",3,"DP 12",0.081641877400479
"Bc10","in",3,"DP 12",0.00693386907264075
"908","con",1,"DP 12",0.00868980248159604
"908","in",1,"DP 12",0.155490530473892
"Bc50","con",2,"DP 12",0.0103955353414777
"Bc10","in",1,"DP 12",0.0145499112777185
"Bc50","in",2,"DP 12",0.0820158689966395
"Bc10","in",2,"DP 12",0.00708309536234782
"Bc50","in",1,"DP 12",0.0297613257308781
"908","con",3,"DP 12",-8.58470715075403e-05
"Bc50","con",1,"DP 12",0.0038739397363899
"Bc50","con",3,"DP 12",0.00335450115594403
"908","in",2,"DP 13",0.0065780617273575
"Bc10","con",2,"DP 13",-0.0340993774831863
"Bc10","con",3,"DP 13",-0.00446441838684423
"908","con",2,"DP 13",-0.0340993774831863
"908","in",3,"DP 13",-0.00765233839718536
"Bc10","con",1,"DP 13",0.0468920240109211
"Bc50","in",3,"DP 13",0.0506659166405146
"Bc10","in",3,"DP 13",0.0176459876200025
"908","con",1,"DP 13",-0.00288676082275216
"908","in",1,"DP 13",0.056620957968909
"Bc50","con",2,"DP 13",0.00880770103339096
"Bc10","in",1,"DP 13",0.0110637075508957
"Bc50","in",2,"DP 13",0.0296412767140101
"Bc10","in",2,"DP 13",0.0192274818835112
"Bc50","in",1,"DP 13",-0.018178673284539
"908","con",3,"DP 13",-0.0165008095110188
"Bc50","con",1,"DP 13",0.0176142436947493
"Bc50","con",3,"DP 13",0.0294686457215758
"908","in",2,"DP 14",0.0172619933481871
"Bc10","con",2,"DP 14",0.0478202783284814
"Bc10","con",3,"DP 14",0.0211363148867351
"908","con",2,"DP 14",-0.010709512487261
"908","in",3,"DP 14",0.0164250648619412
"Bc10","con",1,"DP 14",0.049295783580112
"Bc50","in",3,"DP 14",0.064182940848088
"Bc10","in",3,"DP 14",0.0760224072504832
"908","con",1,"DP 14",0.0622418483949482
"908","in",1,"DP 14",0.105590738827665
"Bc50","con",2,"DP 14",-0.00671541351686554
"Bc10","in",1,"DP 14",0.0308117387275967
"Bc50","in",2,"DP 14",0.03263915453339
"Bc10","in",2,"DP 14",0.0321777582828008
"Bc50","in",1,"DP 14",0.0255587054971421
"908","con",3,"DP 14",0.0178460404929838
"Bc50","con",1,"DP 14",0.0261967846413541
"Bc50","con",3,"DP 14",0.0438679147594949
"908","in",2,"DP 15",0.0578054781687725
"Bc10","con",2,"DP 15",0.0459565015849671
"Bc10","con",3,"DP 15",0.0770339274658293
"908","con",2,"DP 15",0.0042154870009159
"908","in",3,"DP 15",-0.00225108206935716
"Bc10","con",1,"DP 15",0.0891151478244207
"Bc50","in",3,"DP 15",0.055921693309737
"Bc10","in",3,"DP 15",0.0801758307277683
"908","con",1,"DP 15",0.053274561727672
"908","in",1,"DP 15",0.0460409341339642
"Bc50","con",2,"DP 15",-0.00910706799320216
"Bc10","in",1,"DP 15",0.0569954104996868
"Bc50","in",2,"DP 15",0.0336363635696442
"Bc10","in",2,"DP 15",0.0614716924802241
"Bc50","in",1,"DP 15",0.0151207690755661
"908","con",3,"DP 15",0.0350136143405343
"Bc50","con",1,"DP 15",-0.0124445502366263
"Bc50","con",3,"DP 15",-0.00595059475042503
"908","in",2,"DP 16",0.0368368828570337
"Bc10","con",2,"DP 16",0.0472074750874111
"Bc10","con",3,"DP 16",0.0437452312145965
"908","con",2,"DP 16",0.0377156309811858
"908","in",3,"DP 16",0.0132983730827634
"Bc10","con",1,"DP 16",0.0816539498126338
"Bc50","in",3,"DP 16",0.0659007786360055
"Bc10","in",3,"DP 16",0.0995190837861806
"908","con",1,"DP 16",0.0947766957794732
"908","in",1,"DP 16",0.0498108940573016
"Bc50","con",2,"DP 16",0.0274952357079011
"Bc10","in",1,"DP 16",0.0757397555000942
"Bc50","in",2,"DP 16",0.0604939206855009
"Bc10","in",2,"DP 16",0.0772424805802514
"Bc50","in",1,"DP 16",0.0344138002945403
"908","con",3,"DP 16",0.0562859725694963
"Bc50","con",1,"DP 16",0.00976595907328772
"Bc50","con",3,"DP 16",0.0106376851242219
"908","in",2,"DP 17",0.0343171962854885
"Bc10","con",2,"DP 17",0.0422810953594404
"Bc10","con",3,"DP 17",0.0440789489536602
"908","con",2,"DP 17",0.0338945272068598
"908","in",3,"DP 17",0.00901611955328361
"Bc10","con",1,"DP 17",-0.00280471629881662
"Bc50","in",3,"DP 17",0.0336845390701561
"Bc10","in",3,"DP 17",0.0179960458900638
"908","con",1,"DP 17",0.0171813637278014
"908","in",1,"DP 17",0.0265340481430912
"Bc50","con",2,"DP 17",-0.00280471629881662
"Bc10","in",1,"DP 17",0.0143442545424425
"Bc50","in",2,"DP 17",0.0126754850685856
"Bc10","in",2,"DP 17",0.015523515025397
"Bc50","in",1,"DP 17",0.0276066460318759
"908","con",3,"DP 17",0.0607839970872747
"Bc50","con",1,"DP 17",0.0109825188547051
"Bc50","con",3,"DP 17",0.00989765132919703
"908","in",2,"DP 18",-0.0339608606342777
"Bc10","con",2,"DP 18",-0.0427711801429661
"Bc10","con",3,"DP 18",-0.0234700463258139
"908","con",2,"DP 18",-0.0227473995270262
"908","in",3,"DP 18",-0.0170208806111114
"Bc10","con",1,"DP 18",-0.0253600951154202
"Bc50","in",3,"DP 18",-0.00318467725919717
"Bc10","in",3,"DP 18",-0.000977820849950477
"908","con",1,"DP 18",-0.00204884871967579
"908","in",1,"DP 18",-0.000274481652629923
"Bc50","con",2,"DP 18",0.00694600315176082
"Bc10","in",1,"DP 18",-0.00427672233132349
"Bc50","in",2,"DP 18",0.012755864149265
"Bc10","in",2,"DP 18",-0.0351219032223405
"Bc50","in",1,"DP 18",-0.0169460885554034
"908","con",3,"DP 18",0.0186255143525833
"Bc50","con",1,"DP 18",0.017167199769521
"Bc50","con",3,"DP 18",0.0239269878418182
"908","in",2,"DP 19",-0.0247475378575635
"Bc10","con",2,"DP 19",-0.0183283700689297
"Bc10","con",3,"DP 19",-0.0154163292495247
"908","con",2,"DP 19",0.0305202969788735
"908","in",3,"DP 19",0.00155833318853357
"Bc10","con",1,"DP 19",0.0545544302638518
"Bc50","in",3,"DP 19",0.0429453538326768
"Bc10","in",3,"DP 19",0.106645034438843
"908","con",1,"DP 19",0.0999762639874531
"908","in",1,"DP 19",0.00545316529389685
"Bc50","con",2,"DP 19",-0.000329237922708185
"Bc10","in",1,"DP 19",0.0132506584734568
"Bc50","in",2,"DP 19",0.0176404915657233
"Bc10","in",2,"DP 19",-0.00765525606899301
"Bc50","in",1,"DP 19",0.0206211472066186
"908","con",3,"DP 19",0.0600614436410302
"Bc50","con",1,"DP 19",0.0119139298925917
"Bc50","con",3,"DP 19",0.0142761689618789
"908","in",2,"DP 20",0.023086511645597
"Bc10","con",2,"DP 20",0.0340232095233483
"Bc10","con",3,"DP 20",0.0271829185908376
"908","con",2,"DP 20",0.0441464088616921
"908","in",3,"DP 20",-0.0105967797337908
"Bc10","con",1,"DP 20",0.127955215572498
"Bc50","in",3,"DP 20",0.0390562873523072
"Bc10","in",3,"DP 20",0.115593881692215
"908","con",1,"DP 20",0.142652290499646
"908","in",1,"DP 20",0.0475577485763628
"Bc50","con",2,"DP 20",-0.0204121995635606
"Bc10","in",1,"DP 20",0.0186412392109007
"Bc50","in",2,"DP 20",0.0366528901093883
"Bc10","in",2,"DP 20",0.0152035684276195
"Bc50","in",1,"DP 20",0.0136549543713672
"908","con",3,"DP 20",0.0946294984571183
"Bc50","con",1,"DP 20",-0.00828570860193572
"Bc50","con",3,"DP 20",-0.00952747546430481
"908","in",2,"DP 21",0.0256317561089479
"Bc10","con",2,"DP 21",0.033500900146981
"Bc10","con",3,"DP 21",0.0314486216518573
"908","con",2,"DP 21",0.0373303093749141
"908","in",3,"DP 21",-0.0180426697386382
"Bc10","con",1,"DP 21",0.0624567934307778
"Bc50","in",3,"DP 21",0.0449271588278907
"Bc10","in",3,"DP 21",0.128014019050295
"908","con",1,"DP 21",0.165107921492534
"908","in",1,"DP 21",0.0369777232065333
"Bc50","con",2,"DP 21",-0.00552155975283831
"Bc10","in",1,"DP 21",0.034881489762335
"Bc50","in",2,"DP 21",0.0386779325633173
"Bc10","in",2,"DP 21",0.097471168208067
"Bc50","in",1,"DP 21",0.0147884929737054
"908","con",3,"DP 21",0.090379585783698
"Bc50","con",1,"DP 21",-0.0180426697386382
"Bc50","con",3,"DP 21",-0.0180426697386382
"908","in",2,"DP 22",-0.0331931480890159
"Bc10","con",2,"DP 22",-0.0382778049247879
"Bc10","con",3,"DP 22",-0.0252562193954714
"908","con",2,"DP 22",0.0146090385449949
"908","in",3,"DP 22",-0.02672838501897
"Bc10","con",1,"DP 22",0.00418639435356968
"Bc50","in",3,"DP 22",-0.0244769994016953
"Bc10","in",3,"DP 22",0.0726310095956113
"908","con",1,"DP 22",0.106011893651969
"908","in",1,"DP 22",-0.035608094328009
"Bc50","con",2,"DP 22",0.0345690319045581
"Bc10","in",1,"DP 22",0.0233031905248265
"Bc50","in",2,"DP 22",-0.0262695273259466
"Bc10","in",2,"DP 22",0.0240222984131447
"Bc50","in",1,"DP 22",-0.0196617880044496
"908","con",3,"DP 22",0.0734736924587588
"Bc50","con",1,"DP 22",-0.00642948354633075
"Bc50","con",3,"DP 22",-0.00258289814311806
"908","in",2,"DP 23",0.0359983982801764
"Bc10","con",2,"DP 23",0.00782534870607971
"Bc10","con",3,"DP 23",0.0315857460614946
"908","con",2,"DP 23",0.0158235231368964
"908","in",3,"DP 23",-0.0299872467029825
"Bc10","con",1,"DP 23",0.0484691430954819
"Bc50","in",3,"DP 23",0.0188751058354076
"Bc10","in",3,"DP 23",0.122185887324358
"908","con",1,"DP 23",0.157816025664032
"908","in",1,"DP 23",0.0138314398095742
"Bc50","con",2,"DP 23",-0.0112506816400226
"Bc10","in",1,"DP 23",0.0492299941439032
"Bc50","in",2,"DP 23",0.00971736790998523
"Bc10","in",2,"DP 23",0.0595486254898733
"Bc50","in",1,"DP 23",0.00979120510322304
"908","con",3,"DP 23",0.0552645780300188
"Bc50","con",1,"DP 23",-0.0299872467029825
"Bc50","con",3,"DP 23",-0.0299872467029825
"908","in",2,"DP 24",0.0342222418089281
"Bc10","con",2,"DP 24",0.0649458293111081
"Bc10","con",3,"DP 24",0.046112565960822
"908","con",2,"DP 24",0.0606240216949783
"908","in",3,"DP 24",0
"Bc10","con",1,"DP 24",0.0737843067636036
"Bc50","in",3,"DP 24",0.0387095979461957
"Bc10","in",3,"DP 24",0.147456144435419
"908","con",1,"DP 24",0.184696826484903
"908","in",1,"DP 24",0.0325801201540034
"Bc50","con",2,"DP 24",0.0186163768539167
"Bc10","in",1,"DP 24",0.101039593150605
"Bc50","in",2,"DP 24",0.0347655795810207
"Bc10","in",2,"DP 24",0.114872038742549
"Bc50","in",1,"DP 24",0.0184596020953848
"908","con",3,"DP 24",0.112921411869864
"Bc50","con",1,"DP 24",0
"Bc50","con",3,"DP 24",0
"908","in",2,"DP 25",0.00175164880414594
"Bc10","con",2,"DP 25",0.0361927000548178
"Bc10","con",3,"DP 25",0.0322186407267071
"908","con",2,"DP 25",0.0361552034658914
"908","in",3,"DP 25",0.00965398253276807
"Bc10","con",1,"DP 25",0.0860836658030495
"Bc50","in",3,"DP 25",0.0477343944951392
"Bc10","in",3,"DP 25",0.147095082308975
"908","con",1,"DP 25",0.190390477559793
"908","in",1,"DP 25",0.0170597548941446
"Bc50","con",2,"DP 25",0.0280152909977921
"Bc10","in",1,"DP 25",0.0995776329797454
"Bc50","in",2,"DP 25",0.0449140521747246
"Bc10","in",2,"DP 25",0.118306536522263
"Bc50","in",1,"DP 25",0.0204079481362354
"908","con",3,"DP 25",0.102460939179036
"Bc50","con",1,"DP 25",0.0176088693956754
"Bc50","con",3,"DP 25",0.0213836466594809
"908","in",2,"DP 26",0.0285157541989924
"Bc10","con",2,"DP 26",0.0630589731330824
"Bc10","con",3,"DP 26",0.0608369387597124
"908","con",2,"DP 26",0.0460354200824957
"908","in",3,"DP 26",-0.0136597285833708
"Bc10","con",1,"DP 26",0.0681260504529347
"Bc50","in",3,"DP 26",0.0208948290489516
"Bc10","in",3,"DP 26",0.164313641377215
"908","con",1,"DP 26",0.213296917576788
"908","in",1,"DP 26",0.0283704730137175
"Bc50","con",2,"DP 26",-0.00376185219647724
"Bc10","in",1,"DP 26",0.112269493479277
"Bc50","in",2,"DP 26",0.0129434458606754
"Bc10","in",2,"DP 26",0.136476462027191
"Bc50","in",1,"DP 26",0.00313649925049445
"908","con",3,"DP 26",0.111899282433931
"Bc50","con",1,"DP 26",-0.0136597285833708
"Bc50","con",3,"DP 26",-0.0136597285833708
"908","in",2,"DP 27",0.0396816214855259
"Bc10","con",2,"DP 27",0.0691286807613718
"Bc10","con",3,"DP 27",0.0672360197335147
"908","con",2,"DP 27",0.066439755826186
"908","in",3,"DP 27",-0.0207516487368144
"Bc10","con",1,"DP 27",0.0776106628681325
"Bc50","in",3,"DP 27",0.0122397015323121
"Bc10","in",3,"DP 27",0.161903869862927
"908","con",1,"DP 27",0.21290396571899
"908","in",1,"DP 27",0.022219876494204
"Bc50","con",2,"DP 27",-0.0207516487368144
"Bc10","in",1,"DP 27",0.110193226957075
"Bc50","in",2,"DP 27",0.00618302697329893
"Bc10","in",2,"DP 27",0.135859626586954
"Bc50","in",1,"DP 27",-0.000202759513776079
"908","con",3,"DP 27",0.122162100285024
"Bc50","con",1,"DP 27",-0.0207516487368144
"Bc50","con",3,"DP 27",-0.0207516487368144
"908","in",2,"DP 28",0.0488825793209787
"Bc10","con",2,"DP 28",0.0739132176733597
"Bc10","con",3,"DP 28",0.071742147202728
"908","con",2,"DP 28",0.0821743899197845
"908","in",3,"DP 28",0
"Bc10","con",1,"DP 28",0.0770422795692495
"Bc50","in",3,"DP 28",0.0290668760736582
"Bc10","in",3,"DP 28",0.163343172372486
"908","con",1,"DP 28",0.214895629454677
"908","in",1,"DP 28",0.0401980082336316
"Bc50","con",2,"DP 28",0
"Bc10","in",1,"DP 28",0.114513699583356
"Bc50","in",2,"DP 28",0.0231446756784028
"Bc10","in",2,"DP 28",0.142531415110783
"Bc50","in",1,"DP 28",0.017896882897162
"908","con",3,"DP 28",0.143703867372607
"Bc50","con",1,"DP 28",0
"Bc50","con",3,"DP 28",0
"908","in",2,"DP 29",0.0477278436483633
"Bc10","con",2,"DP 29",0.0640831182168923
"Bc10","con",3,"DP 29",0.0618699870171114
"908","con",2,"DP 29",0.0821498868399559
"908","in",3,"DP 29",0
"Bc10","con",1,"DP 29",0.123305578223148
"Bc50","in",3,"DP 29",0.0293905896174429
"Bc10","in",3,"DP 29",0.17201070982461
"908","con",1,"DP 29",0.234105652327448
"908","in",1,"DP 29",0.0392076784400464
"Bc50","con",2,"DP 29",0.0129316903958005
"Bc10","in",1,"DP 29",0.12193183430148
"Bc50","in",2,"DP 29",0.0237403396620135
"Bc10","in",2,"DP 29",0.140242174080126
"Bc50","in",1,"DP 29",0.0192430987634123
"908","con",3,"DP 29",0.142792439667685
"Bc50","con",1,"DP 29",0
"Bc50","con",3,"DP 29",0
"908","in",2,"DP 30",0.036884219606622
"Bc10","con",2,"DP 30",0.0611790835749559
"Bc10","con",3,"DP 30",0.0281552695977177
"908","con",2,"DP 30",-0.00854499069612827
"908","in",3,"DP 30",-0.00854499069612827
"Bc10","con",1,"DP 30",0.12538945045314
"Bc50","in",3,"DP 30",0.019798692428537
"Bc10","in",3,"DP 30",0.189198905484917
"908","con",1,"DP 30",0.22514739005892
"908","in",1,"DP 30",0.0302812793905521
"Bc50","con",2,"DP 30",-0.000272504829539048
"Bc10","in",1,"DP 30",0.113792647105934
"Bc50","in",2,"DP 30",0.0120153445227632
"Bc10","in",2,"DP 30",0.132809416539908
"Bc50","in",1,"DP 30",0.00869801900834172
"908","con",3,"DP 30",0.141122209673002
"Bc50","con",1,"DP 30",-0.00854499069612827
"Bc50","con",3,"DP 30",-0.00854499069612827
"908","in",2,"DP 31",0.0407974694625319
"Bc10","con",2,"DP 31",0
"Bc10","con",3,"DP 31",0.0326124515463654
"908","con",2,"DP 31",0.0889161752662948
"908","in",3,"DP 31",0
"Bc10","con",1,"DP 31",0.135063119919104
"Bc50","in",3,"DP 31",0.0442916150841526
"Bc10","in",3,"DP 31",0.1834343626341
"908","con",1,"DP 31",0.230611405384515
"908","in",1,"DP 31",0.0427049230360198
"Bc50","con",2,"DP 31",0.0110039268093441
"Bc10","in",1,"DP 31",0.143826346578129
"Bc50","in",2,"DP 31",0.0407627372654768
"Bc10","in",2,"DP 31",0.161200369340174
"Bc50","in",1,"DP 31",0.0340847974622698
"908","con",3,"DP 31",0
"Bc50","con",1,"DP 31",0
"Bc50","con",3,"DP 31",0
"908","in",2,"DP 32",0.0331551048228238
"Bc10","con",2,"DP 32",0
"Bc10","con",3,"DP 32",0.0331293205498103
"908","con",2,"DP 32",0.0875261593419233
"908","in",3,"DP 32",0
"Bc10","con",1,"DP 32",0.107457261261808
"Bc50","in",3,"DP 32",0.0411249268073377
"Bc10","in",3,"DP 32",0.17571864320325
"908","con",1,"DP 32",0.194102634416364
"908","in",1,"DP 32",0.0414237775165547
"Bc50","con",2,"DP 32",0.0117389086774386
"Bc10","in",1,"DP 32",0.13646782196977
"Bc50","in",2,"DP 32",0.0403363832240457
"Bc10","in",2,"DP 32",0.152214796798882
"Bc50","in",1,"DP 32",0.0307349332814508
"908","con",3,"DP 32",0.146678439921612
"Bc50","con",1,"DP 32",0
"Bc50","con",3,"DP 32",0
"908","in",2,"DP 33",0.0354011737166968
"Bc10","con",2,"DP 33",0
"Bc10","con",3,"DP 33",0.0311152377294485
"908","con",2,"DP 33",0.0978184388159097
"908","in",3,"DP 33",0
"Bc10","con",1,"DP 33",0.113743224175002
"Bc50","in",3,"DP 33",0.040859229452806
"Bc10","in",3,"DP 33",0.149041949790064
